RDA element,RDA recording method,Alignment,M21 Authority encoding
script,identifier,aligns with,000/09 **
date of publication,structured description,aligns with,005 **
undifferentiated name indicator,identifier,aligns with,008/32 **
status of identification,identifier,aligns with,008/33 **
identifier for corporate body,identifier,aligns with,010 ** $a
identifier for family,identifier,aligns with,010 ** $a
identifier for person,identifier,aligns with,010 ** $a
identifier for agent,identifier,aligns with,010 ** $a
identifier for agent,identifier,aligns with,010 ** $a
identifier for expression,identifier,aligns with,010 ** $a
identifier for place,identifier,aligns with,010 ** $a
identifier for work,identifier,aligns with,010 ** $a
identifier for corporate body,identifier,aligns with,010 ** $z
identifier for family,identifier,aligns with,010 ** $z
identifier for person,identifier,aligns with,010 ** $z
identifier for agent,identifier,aligns with,010 ** $z
identifier for collective agent,identifier,aligns with,010 ** $z
identifier for expression,identifier,aligns with,010 ** $z
identifier for place,identifier,aligns with,010 ** $z
identifier for work,identifier,aligns with,010 ** $z
script,identifier,aligns with,014 ** $6
identifier for corporate body,identifier,aligns with,016 ** $a
identifier for family,identifier,aligns with,016 ** $a
identifier for person,identifier,aligns with,016 ** $a
identifier for agent,identifier,aligns with,016 ** $a
identifier for collective agent,identifier,aligns with,016 ** $a
identifier for expression,identifier,aligns with,016 ** $a
identifier for place,identifier,aligns with,016 ** $a
identifier for work,identifier,aligns with,016 ** $a
identifier for corporate body,identifier,aligns with,016 ** $z
identifier for family,identifier,aligns with,016 ** $z
identifier for person,identifier,aligns with,016 ** $z
identifier for agent,identifier,aligns with,016 ** $z
identifier for collective agent,identifier,aligns with,016 ** $z
identifier for expression,identifier,aligns with,016 ** $z
identifier for place,identifier,aligns with,016 ** $z
identifier for work,identifier,aligns with,016 ** $z
script,identifier,aligns with,020 ** $6
identifier for manifestation,identifier,aligns with,020 ** $a
identifier for manifestation,identifier,aligns with,020 ** $z
ISSN,IRI,aligns with,022 ** $1
script,identifier,aligns with,022 ** $6
identifier for manifestation,identifier,aligns with,022 ** $a
ISSN,identifier,aligns with,"022 ** $a, 0"
identifier for manifestation,identifier,aligns with,022 ** $m
identifier for manifestation,identifier,aligns with,022 ** $y
identifier for manifestation,identifier,aligns with,022 ** $z
source consulted,identifier,aligns with,024 ** $0
source consulted,IRI,aligns with,024 ** $1
source consulted,identifier,aligns with,024 ** $2
script,identifier,aligns with,024 ** $6
identifier for corporate body,identifier,aligns with,024 ** $a
identifier for family,identifier,aligns with,024 ** $a
identifier for person,identifier,aligns with,024 ** $a
identifier for agent,identifier,aligns with,024 ** $a
identifier for collective agent,identifier,aligns with,024 ** $a
identifier for expression,identifier,aligns with,024 ** $a
identifier for place,identifier,aligns with,024 ** $a
identifier for work,identifier,aligns with,024 ** $a
identifier for corporate body,identifier,aligns with,024 ** $d
identifier for family,identifier,aligns with,024 ** $d
identifier for person,identifier,aligns with,024 ** $d
identifier for agent,identifier,aligns with,024 ** $d
identifier for collective agent,identifier,aligns with,024 ** $d
identifier for expression,identifier,aligns with,024 ** $d
identifier for place,identifier,aligns with,024 ** $d
identifier for work,identifier,aligns with,024 ** $d
identifier for corporate body,identifier,aligns with,024 ** $z
identifier for family,identifier,aligns with,024 ** $z
identifier for person,identifier,aligns with,024 ** $z
identifier for agent,identifier,aligns with,024 ** $z
identifier for collective agent,identifier,aligns with,024 ** $z
identifier for expression,identifier,aligns with,024 ** $z
identifier for place,identifier,aligns with,024 ** $z
identifier for work,identifier,aligns with,024 ** $z
source consulted,identifier,aligns with,031 ** $2
script,identifier,aligns with,031 ** $6
coordinates of cartographic content,identifier,aligns with,034 ** $0
longitude and latitude,identifier,aligns with,034 ** $0
right ascension and declination,identifier,aligns with,034 ** $0
strings of coordinate pairs,identifier,aligns with,034 ** $0
latitude,identifier,aligns with,034 ** $0
longitude,identifier,aligns with,034 ** $0
right ascension,identifier,aligns with,034 ** $0
declination,identifier,aligns with,034 ** $0
source consulted,identifier,aligns with,034 ** $0
coordinates of cartographic content,IRI,aligns with,034 ** $1
longitude and latitude,IRI,aligns with,034 ** $1
right ascension and declination,IRI,aligns with,034 ** $1
strings of coordinate pairs,IRI,aligns with,034 ** $1
latitude,IRI,aligns with,034 ** $1
longitude,IRI,aligns with,034 ** $1
right ascension,IRI,aligns with,034 ** $1
declination,IRI,aligns with,034 ** $1
source consulted,IRI,aligns with,034 ** $1
source consulted,identifier,aligns with,034 ** $2
script,identifier,aligns with,034 ** $6
longitude,structured description,aligns with,"034 ** $d, e"
strings of coordinate pairs,structured description,aligns with,"034 ** $d, e, f, g"
coordinates of cartographic content,structured description,aligns with,"034 ** $d, e, f, g, j, k, m, n, s, t"
longitude and latitude,structured description,aligns with,"034 ** $d, e, f, g, s, t"
latitude,structured description,aligns with,"034 ** $f, g"
declination,structured description,aligns with,"034 ** $j, k"
right ascension and declination,structured description,aligns with,"034 ** $j, k, m, n"
right ascension,structured description,aligns with,"034 ** $m, n"
script,identifier,aligns with,035 ** $6
identifier for corporate body,identifier,aligns with,035 ** $a
identifier for family,identifier,aligns with,035 ** $a
identifier for person,identifier,aligns with,035 ** $a
identifier for agent,identifier,aligns with,035 ** $a
identifier for expression,identifier,aligns with,035 ** $a
identifier for place,identifier,aligns with,035 ** $a
identifier for work,identifier,aligns with,035 ** $a
identifier for corporate body,identifier,aligns with,035 ** $z
identifier for family,identifier,aligns with,035 ** $z
identifier for person,identifier,aligns with,035 ** $z
identifier for agent,identifier,aligns with,035 ** $z
identifier for expression,identifier,aligns with,035 ** $z
identifier for place,identifier,aligns with,035 ** $z
identifier for work,identifier,aligns with,035 ** $z
publisher agent,identifier,aligns with,040 ** $a
author agent,identifier,aligns with,040 ** $a
language of expression,identifier,aligns with,040 ** $b
publisher agent,identifier,aligns with,040 ** $c
author agent,identifier,aligns with,040 ** $c
author agent,identifier,aligns with,040 ** $d
source consulted,identifier,aligns with,040 ** $e
source consulted,identifier,aligns with,043 ** $2
script,identifier,aligns with,043 ** $6
script,identifier,aligns with,045 ** $6
source consulted,identifier,aligns with,046 ** $2
script,identifier,aligns with,046 ** $6
date of birth,structured description,aligns with,046 ** $f
related timespan of agent,structured description,aligns with,046 ** $f
related timespan of person,structured description,aligns with,046 ** $f
date of death,structured description,aligns with,046 ** $g
related timespan of agent,structured description,aligns with,046 ** $g
related timespan of person,structured description,aligns with,046 ** $g
related timespan of expression,structured description,aligns with,046 ** $k
date of work,structured description,aligns with,046 ** $k
related timespan of work,structured description,aligns with,046 ** $k
date of expression,structured description,aligns with,"046 ** $k, l, o, p, u"
date of capture,structured description,aligns with,"046 ** $k, o, u"
related timespan of expression,structured description,aligns with,046 ** $l
related timespan of work,structured description,aligns with,046 ** $l
date of establishment,structured description,aligns with,046 ** $q
date of conference,structured description,aligns with,046 ** $q
related timespan of agent,structured description,aligns with,046 ** $q
related timespan of collective agent,structured description,aligns with,046 ** $q
related timespan of corporate body,structured description,aligns with,046 ** $q
period of activity of collective agent,structured description,aligns with,046 ** $q
date of termination,structured description,aligns with,046 ** $r
date of conference,structured description,aligns with,046 ** $r
related timespan of agent,structured description,aligns with,046 ** $r
related timespan of collective agent,structured description,aligns with,046 ** $r
related timespan of corporate body,structured description,aligns with,046 ** $r
period of activity of collective agent,structured description,aligns with,046 ** $r
period of activity of person,structured description,aligns with,046 ** $s
period of activity of corporate body,structured description,aligns with,046 ** $s
related timespan of agent,structured description,aligns with,046 ** $s
related timespan of collective agent,structured description,aligns with,046 ** $s
related timespan of corporate body,structured description,aligns with,046 ** $s
period of activity of collective agent,structured description,aligns with,046 ** $s
period of activity of family,structured description,aligns with,046 ** $s
period of activity of person,structured description,aligns with,046 ** $t
period of activity of corporate body,structured description,aligns with,046 ** $t
related timespan of agent,structured description,aligns with,046 ** $t
related timespan of collective agent,structured description,aligns with,046 ** $t
related timespan of corporate body,structured description,aligns with,046 ** $t
period of activity of collective agent,structured description,aligns with,046 ** $t
period of activity of family,structured description,aligns with,046 ** $t
source consulted,identifier,aligns with,050 ** $0
source consulted,IRI,aligns with,050 ** $1
publisher agent,identifier,aligns with,050 ** $5
author agent,identifier,aligns with,050 ** $5
script,identifier,aligns with,050 ** $6
subject,structured description,aligns with,050 ** $a
source consulted,identifier,aligns with,052 ** $0
source consulted,IRI,aligns with,052 ** $1
source consulted,identifier,aligns with,052 ** $2
script,identifier,aligns with,052 ** $6
subject,structured description,aligns with,052 ** $a
source consulted,identifier,aligns with,053 ** $0
source consulted,IRI,aligns with,053 ** $1
publisher agent,identifier,aligns with,053 ** $5
author agent,identifier,aligns with,053 ** $5
script,identifier,aligns with,053 ** $6
subject,structured description,aligns with,053 ** $a
subject,structured description,aligns with,053 ** $b
source consulted,identifier,aligns with,055 ** $0
source consulted,IRI,aligns with,055 ** $1
source consulted,identifier,aligns with,055 ** $2
publisher agent,identifier,aligns with,055 ** $5
author agent,identifier,aligns with,055 ** $5
script,identifier,aligns with,055 ** $6
subject,structured description,aligns with,055 ** $a
source consulted,identifier,aligns with,060 ** $0
source consulted,IRI,aligns with,060 ** $1
publisher agent,identifier,aligns with,060 ** $5
author agent,identifier,aligns with,060 ** $5
script,identifier,aligns with,060 ** $6
subject,structured description,aligns with,060 ** $a
source consulted,identifier,aligns with,065 ** $0
source consulted,IRI,aligns with,065 ** $1
source consulted,identifier,aligns with,065 ** $2
publisher agent,identifier,aligns with,065 ** $5
author agent,identifier,aligns with,065 ** $5
script,identifier,aligns with,065 ** $6
subject,structured description,aligns with,065 ** $a
subject,structured description,aligns with,065 ** $b
script,identifier,aligns with,066 ** $a
script,identifier,aligns with,066 ** $b
script,identifier,aligns with,066 ** $c
source consulted,identifier,aligns with,070 ** $0
source consulted,IRI,aligns with,070 ** $1
script,identifier,aligns with,070 ** $6
source consulted,identifier,aligns with,072 ** $2
script,identifier,aligns with,072 ** $6
subject,structured description,aligns with,072 ** $a
script,identifier,aligns with,073 ** $6
source consulted,identifier,aligns with,075 ** $0
source consulted,IRI,aligns with,075 ** $1
source consulted,identifier,aligns with,075 ** $2
source consulted,identifier,aligns with,080 ** $0
source consulted,IRI,aligns with,080 ** $1
source consulted,identifier,aligns with,080 ** $2
script,identifier,aligns with,080 ** $6
subject,structured description,aligns with,080 ** $a
source consulted,identifier,aligns with,082 ** $2
publisher agent,identifier,aligns with,082 ** $5
author agent,identifier,aligns with,082 ** $5
script,identifier,aligns with,082 ** $6
subject,structured description,aligns with,082 ** $a
source consulted,identifier,aligns with,083 ** $2
publisher agent,identifier,aligns with,083 ** $5
author agent,identifier,aligns with,083 ** $5
script,identifier,aligns with,083 ** $6
subject,structured description,aligns with,083 ** $a
subject,structured description,aligns with,083 ** $b
source consulted,identifier,aligns with,086 ** $2
publisher agent,identifier,aligns with,086 ** $5
author agent,identifier,aligns with,086 ** $5
script,identifier,aligns with,086 ** $6
subject,structured description,aligns with,086 ** $a
source consulted,identifier,aligns with,087 ** $0
source consulted,IRI,aligns with,087 ** $1
source consulted,identifier,aligns with,087 ** $2
script,identifier,aligns with,087 ** $6
subject,structured description,aligns with,087 ** $a
subject,structured description,aligns with,087 ** $b
appellation of agent,identifier,aligns with,100 ** $0
appellation of person,identifier,aligns with,100 ** $0
appellation of agent,IRI,aligns with,100 ** $1
appellation of person,IRI,aligns with,100 ** $1
script,identifier,aligns with,100 ** $6
preferred name of agent,unstructured description,aligns with,100 ** $a
access point for expression,structured description,aligns with,"100 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t"
authorized access point for expression,structured description,aligns with,"100 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t"
access point for work,structured description,aligns with,"100 ** $a, b, c, d, f, g, k, l, n, p, q, t,"
authorized access point for work,structured description,aligns with,"100 ** $a, b, c, d, f, g, k, l, n, p, q, t,"
authorized access point for work group,structured description,aligns with,"100 ** $a, b, c, d, f, g, k, l, n, p, q, t,"
access point for agent,structured description,aligns with,"100 ** $a, b, c, d, g, q"
appellation of agent,structured description,aligns with,"100 ** $a, b, c, d, g, q"
appellation of person,structured description,aligns with,"100 ** $a, b, c, d, g, q"
authorized access point for agent,structured description,aligns with,"100 ** $a, b, c, d, g, q"
"term of rank, honour, or office",structured description,aligns with,100 ** $c
date of work,structured description,aligns with,100 ** $f
language of expression,structured description,aligns with,100 ** $l
medium of performance of musical content,identifier,aligns with,100 ** $m
numbering of part,unstructured description,aligns with,100 ** $n
numeric designation of musical work,identifier,aligns with,100 ** $n
key of expression,structured description,aligns with,100 ** $r
title of expression,unstructured description,aligns with,100 ** $t
title of work,unstructured description,aligns with,100 ** $t
preferred title of work,unstructured description,aligns with,100 ** $t
preferred name of person,unstructured description,aligns with,100 0* $a
given name,unstructured description,aligns with,100 0* $a
access point for person,structured description,aligns with,"100 0* $a, b, c, d, g, q"
authorized access point for person,structured description,aligns with,"100 0* $a, b, c, d, g, q"
date of death,structured description,aligns with,100 0* $d
date of birth,structured description,aligns with,100 0* $d
